Tournament 1
GrimTriggerPlayer: 419.03757 points.
FirmButFairPlayer: 417.15186 points.
GradualPlayer: 411.73157 points.
T4TPlayer: 407.60733 points.
TolerantPlayer: 406.41855 points.
NicePlayer: 346.03995 points.
FreakyPlayer: 332.58575 points.
NastyPlayer: 332.56555 points.
HardMajorityPlayer: 312.5909 points.
RandomPlayer: 282.94083 points.
ReverseT4TPlayer: 241.3888 points.

Tournament 16
GradualPlayer: 422.3078 points.
FirmButFairPlayer: 413.656 points.
BestPlayer: 412.38177 points.
GrimTriggerPlayer: 411.91922 points.
TolerantPlayer: 410.8602 points.
T4TPlayer: 395.7042 points.
FreakyPlayer: 333.21228 points.
NicePlayer: 317.3185 points.
HardMajorityPlayer: 314.45364 points.
NastyPlayer: 312.6317 points.
RandomPlayer: 276.46838 points.
ReverseT4TPlayer: 225.98038 points.

Tournament 17
BestPlayer: 432.06616 points.
GradualPlayer: 418.6143 points.
FirmButFairPlayer: 412.34625 points.
TolerantPlayer: 406.81934 points.
GrimTriggerPlayer: 403.13284 points.
T4TPlayer: 384.05057 points.
NicePlayer: 337.95453 points.
FreakyPlayer: 328.03943 points.
NastyPlayer: 322.14206 points.
HardMajorityPlayer: 305.7051 points.
RandomPlayer: 262.99924 points.
ReverseT4TPlayer: 217.27841 points.

Tournament 18
FirmButFairPlayer: 428.64316 points.
BestPlayer: 427.56693 points.
GrimTriggerPlayer: 416.87656 points.
GradualPlayer: 407.87036 points.
TolerantPlayer: 402.95468 points.
T4TPlayer: 395.57104 points.
NicePlayer: 335.00592 points.
NastyPlayer: 330.41513 points.
HardMajorityPlayer: 321.0908 points.
FreakyPlayer: 305.21988 points.
RandomPlayer: 276.06522 points.
ReverseT4TPlayer: 253.10571 points.

Tournament 19
BestPlayer: 418.9565 points.
GrimTriggerPlayer: 416.6847 points.
GradualPlayer: 411.16 points.
FirmButFairPlayer: 405.5817 points.
T4TPlayer: 404.27576 points.
TolerantPlayer: 393.25696 points.
